id,nombre,popularity,artista,pais,genero
88,Paaristõuked,32,"5MIINUST, villemdrillem",EE,NULL
89,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,EE,NULL
90,Starboy,84,"The Weeknd, Daft Punk",EE,NULL
91,Die Heelal (feat. Early B),0,"Janie Bay, Early B",EE,NULL
92,Falling Down - Bonus Track,79,"Lil Peep, XXXTENTACION",EE,NULL
93,Sirenen,0,Tommy,EE,NULL
94,Revenge,79,XXXTENTACION,EE,alternative rock
95,言葉のいらない約束,0,sana,EE,J-rock
96,Unforgettable,80,"French Montana, Swae Lee",EE,NULL
97,Do It Like You Mean It (feat. Yoel 905),0,"Frans, Yoel905",EE,NULL
98,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",75,"A$AP Rocky, Rod Stewart, Miguel, Mark Ronson",EE,NULL
99,Pakete,0,Tommy,EE,NULL
100,All The Stars (with SZA),90,"Kendrick Lamar, SZA",FI,NULL
101,Skrrt,7,"K27, Einar",FI,NULL
102,The Night We Met,84,Lord Huron,FI,indie
103,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",FI,NULL
104,Clean White Noise - Loopable with no fade,71,"White Noise Baby Sleep, White Noise for Babies",FI,NULL
105,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",FI,NULL
106,Valo pimeän,45,Pyhimys,FI,2010s
107,SUURI,0,Laineen Kasperi,FI,NULL
108,Ikuinen vappu,45,JVG,FI,Suomirap
109,Enamorado,2,Alexander Stewart,FI,pop
110,Deutschland,71,Rammstein,FI,industrial metal
111,Do It Like You Mean It (feat. Yoel 905),0,"Frans, Yoel905",FI,NULL
112,Silmät,44,Gettomasa,FI,rap
113,REASON,0,SYU(from GALNERYUS),FI,NULL
114,HUMBLE.,84,Kendrick Lamar,FI,rap
115,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,FI,NULL
116,Softcore,81,The Neighbourhood,FI,alternative
117,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",FI,NULL
118,Falling Down - Bonus Track,79,"Lil Peep, XXXTENTACION",FI,NULL
119,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,FI,NULL
120,Starboy,84,"The Weeknd, Daft Punk",FI,NULL
121,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,FI,NULL
122,Low Life (feat. The Weeknd),79,"Future, The Weeknd",FI,NULL
123,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",FI,NULL
124,lovely (with Khalid),82,"Billie Eilish, Khalid",FI,NULL
125,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,FI,NULL
126,Cigarettes out the Window,80,TV Girl,FI,indie pop
127,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,FI,NULL
128,Daddy Issues,80,The Neighbourhood,FI,MySpotigramBot
129,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,FI,NULL
130,Lush Life,77,Zara Larsson,FI,pop
131,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,FI,NULL
132,ocean eyes,79,Billie Eilish,FI,indie
133,言葉のいらない約束,0,sana,FI,J-rock
134,Always Remember Us This Way,79,Lady Gaga,FI,Love
135,Milion słów,1,Jula,FI,polish
136,everything i wanted,79,Billie Eilish,FI,indie pop
137,Дождь (feat. МакSим),1,"Geegun, MAKSIM",FI,NULL
138,Without You (feat. Sandro Cavazza),76,"Avicii, Sandro Cavazza",FI,NULL
139,Downtown,16,"Anitta, J Balvin",FI,NULL
140,Ransom,81,Lil Tecca,FI,2010s
141,Matador (feat. Tommy),1,"CAPO, Tommy",FI,NULL
142,Swim,83,Chase Atlantic,FI,seen live
143,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",FI,NULL
144,when the party's over,80,Billie Eilish,FI,pop
145,Stretch,0,Louise,FI,great quality stuff
146,Lucid Dreams,80,Juice WRLD,FI,MySpotigramBot
147,Die Heelal (feat. Early B),0,"Janie Bay, Early B",FI,NULL
148,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",FI,NULL
149,Sirenen,0,Tommy,FI,NULL
150,All The Stars (with SZA),90,"Kendrick Lamar, SZA",IS,NULL
151,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",IS,NULL
152,"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",72,White Noise Baby Sleep,IS,Sleep
153,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",IS,NULL
154,Pure White Noise Only (Non Stop Loop),56,White Noise Baby Sleep Music,IS,NULL
155,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,IS,NULL
156,The Night We Met,84,Lord Huron,IS,indie
157,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,IS,NULL
158,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",IS,NULL
159,Skrrt,7,"K27, Einar",IS,NULL
160,Pink + White,82,Frank Ocean,IS,NULL
161,Milion słów,1,Jula,IS,polish
162,White Ferrari,81,Frank Ocean,IS,singer-songwriter
163,Do It Like You Mean It (feat. Yoel 905),0,"Frans, Yoel905",IS,NULL
164,Já ég veit,33,"Birnir, Herra Hnetusmjör",IS,NULL
165,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",IS,NULL
166,HUMBLE.,84,Kendrick Lamar,IS,rap
167,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,IS,NULL
168,Vangaveltur,32,Herra Hnetusmjör,IS,NULL
169,Enamorado,2,Alexander Stewart,IS,pop
170,Ivy,79,Frank Ocean,IS,MySpotigramBot
171,Downtown,16,"Anitta, J Balvin",IS,NULL
172,Út í geim,31,Birnir,IS,NULL
173,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,IS,NULL
174,LSMLÍ (lífið sem mig langar í),31,Hipsumhaps,IS,NULL
175,Matador (feat. Tommy),1,"CAPO, Tommy",IS,NULL
176,Violent Crimes,78,Kanye West,IS,MySpotigramBot
177,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,IS,NULL
178,Way Down We Go,30,KALEO,IS,2016
179,Дождь (feat. МакSим),1,"Geegun, MAKSIM",IS,NULL
180,Feimin(n),31,"BRÍET, palmi., Aron Can",IS,NULL
181,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,IS,NULL
182,Love On The Brain,80,Rihanna,IS,soul
183,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",IS,NULL
184,Í síðasta skipti,31,Friðrik Dór,IS,iceland
185,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",IS,NULL
186,Sundress,78,A$AP Rocky,IS,MySpotigramBot
187,Stretch,0,Louise,IS,great quality stuff
188,Upp Til Hópa,31,"Herra Hnetusmjör, Ingi Bauer",IS,NULL
189,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,IS,NULL
190,Þráhyggja,31,"JóiPé, Króli",IS,NULL
191,Die Heelal (feat. Early B),0,"Janie Bay, Early B",IS,NULL
192,Hata að hafa þig ekki hér - SAMSUNG SESSJÓN,31,"Friðrik Dór, BRÍET",IS,NULL
193,Sirenen,0,Tommy,IS,NULL
194,Silfurskotta,30,"Emmsjé Gauti, Aron Can",IS,NULL
195,言葉のいらない約束,0,sana,IS,J-rock
196,Falskar ástir,30,Floni,IS,NULL
197,Pakete,0,Tommy,IS,NULL
198,Tennessee Whiskey,78,Chris Stapleton,IS,country
199,Stronger Together,0,"Paul van Dyk, Pierre Pienaar",IS,NULL
200,All The Stars (with SZA),90,"Kendrick Lamar, SZA",IE,NULL
201,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",IE,NULL
202,The Night We Met,84,Lord Huron,IE,indie
203,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",IE,NULL
204,Heading South,78,Zach Bryan,IE,NULL
205,Enamorado,2,Alexander Stewart,IE,pop
206,H.O.O.D,61,KNEECAP,IE,Hip-Hop
207,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,IE,NULL
208,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",IE,NULL
209,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,IE,NULL
210,"White Noise Sleeping Aid to Help My Baby Fall Asleep, Sleep Through the Night",72,White Noise Baby Sleep,IE,Sleep
211,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,IE,NULL
212,Cruel Summer,84,Taylor Swift,IE,electropop
213,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,IE,NULL
214,Brazil,76,Declan McKenna,IE,indie
215,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,IE,NULL
216,HUMBLE.,84,Kendrick Lamar,IE,rap
217,Hate to Love (feat. Jamie T),0,"Beatsteaks, Jamie T",IE,NULL
218,White Ferrari,81,Frank Ocean,IE,singer-songwriter
219,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,IE,NULL
220,Get Your Brits Out,57,KNEECAP,IE,NULL
221,In Betweenin',0,Austin Brown,IE,NULL
222,Something Just Like This,83,"The Chainsmokers, Coldplay",IE,NULL
223,All I've Ever Known,0,"Grace Hodgett Young, Dónal Finn",IE,NULL
224,Evergreen,78,Richy Mitch & The Coal Miners,IE,NULL
225,言葉のいらない約束,0,sana,IE,J-rock
226,Pink + White,82,Frank Ocean,IE,NULL
227,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",IE,NULL
228,When It Rains It Pours,78,Luke Combs,IE,country
229,Matador (feat. Tommy),1,"CAPO, Tommy",IE,NULL
230,Tennessee Whiskey,78,Chris Stapleton,IE,country
231,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",IE,NULL
232,Cearta,54,KNEECAP,IE,NULL
233,Pictures of You,0,Sonny Smith,IE,fip
234,Lush Life,77,Zara Larsson,IE,pop
235,Movement,0,Hozier,IE,soul
236,Someone You Loved,81,Lewis Capaldi,IE,2010s
237,Дождь (feat. МакSим),1,"Geegun, MAKSIM",IE,NULL
238,This Town,74,Niall Horan,IE,folk
239,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,IE,NULL
240,Always Remember Us This Way,79,Lady Gaga,IE,Love
241,Downtown,16,"Anitta, J Balvin",IE,NULL
242,Shallow,79,"Lady Gaga, Bradley Cooper",IE,NULL
243,Skrrt,7,"K27, Einar",IE,NULL
244,when the party's over,80,Billie Eilish,IE,pop
245,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",IE,NULL
246,Sundress,78,A$AP Rocky,IE,MySpotigramBot
247,Milion słów,1,Jula,IE,polish
248,The Less I Know The Better,80,Tame Impala,IE,psychedelic
249,Stretch,0,Louise,IE,great quality stuff
250,All The Stars (with SZA),90,"Kendrick Lamar, SZA",LT,NULL
251,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",LT,NULL
252,Kitoks Pasaulis,43,FOJE,LT,lithuanian
253,Дождь (feat. МакSим),1,"Geegun, MAKSIM",LT,NULL
254,Vaikystės Stogas,41,FOJE,LT,rock
255,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,LT,NULL
256,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",LT,NULL
257,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,LT,NULL
258,Cigarettes out the Window,80,TV Girl,LT,indie pop
259,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LT,NULL
260,Sundress,78,A$AP Rocky,LT,MySpotigramBot
261,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LT,NULL
262,PRIDE.,80,Kendrick Lamar,LT,MySpotigramBot
263,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LT,NULL
264,HUMBLE.,84,Kendrick Lamar,LT,rap
265,In Betweenin',0,Austin Brown,LT,NULL
266,Softcore,81,The Neighbourhood,LT,alternative
267,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",LT,NULL
268,Kitoks Pasaulis (2017),37,Andrius Mamontovas,LT,NULL
269,Enamorado,2,Alexander Stewart,LT,pop
270,Not Allowed,80,TV Girl,LT,indie pop
271,Skrrt,7,"K27, Einar",LT,NULL
272,Myliu,37,Vaidas Baumila,LT,NULL
273,Tabarnak,0,Volo,LT,NULL
274,Pink + White,82,Frank Ocean,LT,NULL
275,Did You Love Me,0,Shannon & the Clams,LT,NULL
276,Daddy Issues,80,The Neighbourhood,LT,MySpotigramBot
277,Downtown,16,"Anitta, J Balvin",LT,NULL
278,I Got Love,63,"MiyaGi & Endspiel, Rem Digga",LT,NULL
279,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",LT,NULL
280,White Ferrari,81,Frank Ocean,LT,singer-songwriter
281,Matador (feat. Tommy),1,"CAPO, Tommy",LT,NULL
