id,nombre,popularity,artista,pais,genero
88,Party Jumpin’,2,"Jamie Brown, Marshmello",FR,NULL
89,Collabo,67,"Ninho, Niska",FR,NULL
90,Lindo Momento,21,Julliany Souza,FR,NULL
91,CARRÉ OK,69,"Soolking, GIMS",FR,NULL
92,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",FR,NULL
93,That’s So True,91,Gracie Abrams,FR,love at first listen
94,Hurt,12,OneRepublic,FR,NULL
95,Alpha,67,"Damso, Kalash",FR,NULL
96,Seu Astral / Mistérios,11,Fiorella,FR,NULL
97,Forever Young,77,"David Guetta, Alphaville, Ava Max",FR,NULL
98,Rodeo (Remix),9,"Lah Pat, Flo Milli",FR,NULL
99,Die With A Smile,96,"Lady Gaga, Bruno Mars",MC,NULL
100,Oublier,1,Rsko,MC,NULL
101,BIRDS OF A FEATHER,93,Billie Eilish,MC,alt-pop
102,Little Window - Live Studio Session,3,FINNEAS,MC,NULL
103,Not Like Us,92,Kendrick Lamar,MC,MySpotigramBot
104,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,MC,NULL
105,That’s So True,91,Gracie Abrams,MC,love at first listen
106,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",MC,NULL
107,Clean Baby Sleep White Noise (Loopable),91,"Dream Supplier, Baby Sleeps, Background White Noise",MC,NULL
108,Hurt,12,OneRepublic,MC,NULL
109,APT.,91,"ROSÉ, Bruno Mars",MC,NULL
110,Passenger Princess,6,"Aminé, Smino",MC,NULL
111,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",MC,NULL
112,Dead Flowers,0,Boldy James,MC,NULL
113,WILDFLOWER,90,Billie Eilish,MC,edu e marco
114,I Ain't Sayin' - Performance,2,Jordan Davis,MC,NULL
115,Sailor Song,89,Gigi Perez,MC,indie folk
116,Family Feud - Live at The Ford,2,FINNEAS,MC,NULL
117,"Good Luck, Babe!",89,Chappell Roan,MC,synthpop
118,What A Woman Can Do - Acoustic,0,Maddie & Tae,MC,NULL
119,luther (with sza),89,"Kendrick Lamar, SZA",MC,NULL
120,Lindo Momento,21,Julliany Souza,MC,NULL
121,luther (with sza),88,"Kendrick Lamar, SZA",MC,NULL
122,Seu Astral / Mistérios,11,Fiorella,MC,NULL
123,DENIAL IS A RIVER,88,Doechii,MC,Hip-Hop
124,Rodeo (Remix),9,"Lah Pat, Flo Milli",MC,NULL
125,Si Antes Te Hubiera Conocido,87,KAROL G,MC,latin
126,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,MC,NULL
127,APT.,87,"ROSÉ, Bruno Mars",MC,NULL
128,Circles,7,SAINt JHN,MC,NULL
129,squabble up,87,Kendrick Lamar,MC,hyphy
130,04:30,7,"Haze, Mucco",MC,NULL
131,Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",MC,NULL
132,Selfmade Babylon,6,"Bausa, Bozza",MC,NULL
133,"One Of The Girls (with JENNIE, Lily Rose Depp)",87,"The Weeknd, JENNIE, Lily-Rose Depp",MC,NULL
134,Standard,6,"Einar, A36",MC,NULL
135,Like Him (feat. Lola Young),86,"Tyler, The Creator, Lola Young",MC,NULL
136,Tussi Code Mari,5,"Marcianeke, Crismj",MC,NULL
137,Messy,86,Lola Young,MC,indie rock
138,Pasatiempo,4,"La China, ECKO",MC,NULL
139,blue,86,yung kai,MC,indie
140,Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",MC,NULL
141,Qué Pasaría...,86,"Rauw Alejandro, Bad Bunny",MC,NULL
142,Dużo Ciebie Mi,4,Lemon,MC,polish
143,Taste,86,Sabrina Carpenter,MC,pop
144,Babylon - Live,4,Tamino,MC,NULL
145,Loco,86,Neton Vega,MC,NULL
146,"Fam*ly (feat. Tiji Jojo, DADA & LEX)",3,"BAD HOP, Tiji Jojo, Dada, LEX",MC,NULL
147,Who,86,Jimin,MC,homosexual
148,Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,3,Billie Eilish,MC,NULL
149,Scarabocchi,72,"Olly, Juli",IT,NULL
150,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,IT,NULL
151,BUIO DAVANTI,70,Lazza,IT,MySpotigramBot
152,Hurt,12,OneRepublic,IT,NULL
153,VERTEBRE,69,SETTEMBRE,IT,Italy
154,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",IT,NULL
155,Quei ricordi là,69,"Olly, Juli",IT,NULL
156,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,IT,NULL
157,GLI SBANDATI HANNO PERSO,69,Marracash,IT,MySpotigramBot
158,Ferrari (feat. Luciano),0,"Capo Plaza, Luciano",IT,NULL
159,Amore Disperato,69,Achille Lauro,IT,NULL
160,Circles,7,SAINt JHN,IT,NULL
161,LEI,68,Marracash,IT,MySpotigramBot
162,Rodeo (Remix),9,"Lah Pat, Flo Milli",IT,NULL
163,BAMBOLA (feat. Niky Savage),68,"Artie 5ive, Niky Savage",IT,NULL
164,Passenger Princess,6,"Aminé, Smino",IT,NULL
165,Devastante,68,"Olly, Juli",IT,NULL
166,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",IT,NULL
167,Tu Me Quieres - Prod. by Higashi x Roberto Ferrante,68,"Baby Gang, Omega, Higashi, Roberto Ferrante",IT,NULL
168,Still countin / Poppin,0,Yeat,IT,NULL
169,Per due come noi,67,"Olly, Angelina Mango, Juli",IT,NULL
170,Don't Play by the Rules,3,"D.T.E, PREZIOSO",IT,NULL
171,Die With A Smile,96,"Lady Gaga, Bruno Mars",IT,NULL
172,Un'estate normale,0,Nek,IT,NULL
173,Si Antes Te Hubiera Conocido,87,KAROL G,IT,latin
174,EA2 (The Beginning of the Era),1,Lil Uzi Vert,IT,NULL
175,That’s So True,91,Gracie Abrams,IT,love at first listen
176,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",IT,NULL
177,Born With a Broken Heart,77,Damiano David,IT,alternative pop
178,Family Feud - Live at The Ford,2,FINNEAS,IT,NULL
179,APT.,91,"ROSÉ, Bruno Mars",IT,NULL
180,Ghosts / Slowing Down,0,Scarlet House,IT,NULL
181,Not Like Us,92,Kendrick Lamar,IT,MySpotigramBot
182,XI COMANDAMENTO - VASCO LIVE XXII,0,Vasco Rossi,IT,NULL
183,BIRDS OF A FEATHER,93,Billie Eilish,IT,alt-pop
184,Rid Of Me - Live,3,Still Woozy,IT,NULL
185,Sailor Song,89,Gigi Perez,IT,indie folk
186,Mentalità di mare,0,Ivan,IT,NULL
187,Gata Only,82,"FloyyMenor, Cris Mj",IT,NULL
188,Il cielo di Roma - Live Session,0,Orang3,IT,NULL
189,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",IT,NULL
190,Ana Wingii,0,Wingii,IT,NULL
191,Messy,86,Lola Young,IT,indie rock
192,Glass: Philip Glass: Les enfants terribles: The Somnambulist - Part 2,0,"Philip Glass, Katia & Marielle Labèque",IT,NULL
193,"Good Luck, Babe!",89,Chappell Roan,IT,synthpop
194,Babylon - Live,4,Tamino,IT,NULL
195,Move,80,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",IT,NULL
196,Tuck Your Chain,0,"Money Man, Danny Towers",IT,NULL
197,Q U E V A S H A C E R H O Y ?,81,"Omar Courtz, De La Rose",IT,NULL
198,Dead Flowers,0,Boldy James,IT,NULL
199,Die With A Smile,96,"Lady Gaga, Bruno Mars",SI,NULL
200,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,SI,NULL
201,BASS,60,"Jala Brat, Buba Corelli",SI,NULL
202,Hurt,12,OneRepublic,SI,NULL
203,BLAKA BLAKA,60,"Jala Brat, Buba Corelli, Elena",SI,NULL
204,Babylon - Live,4,Tamino,SI,NULL
205,"Anđeo - From ""Sram""",57,"Miach, Hiljson Mandela",SI,NULL
206,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,SI,NULL
207,That’s So True,91,Gracie Abrams,SI,love at first listen
