nombre,popularity,artista,pais,genero
Hurt,11,OneRepublic,FR,NULL
Alpha,67,"Damso, Kalash",FR,NULL
Seu Astral / Mistérios,12,Fiorella,FR,NULL
Forever Young,77,"David Guetta, Alphaville, Ava Max",FR,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",FR,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",MC,NULL
Oublier,1,Rsko,MC,NULL
BIRDS OF A FEATHER,93,Billie Eilish,MC,NULL
Little Window - Live Studio Session,3,FINNEAS,MC,NULL
Not Like Us,92,Kendrick Lamar,MC,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,MC,NULL
That’s So True,92,Gracie Abrams,MC,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",MC,NULL
Clean Baby Sleep White Noise (Loopable),91,"Dream Supplier, Baby Sleeps, Background White Noise",MC,NULL
Hurt,11,OneRepublic,MC,NULL
APT.,91,"ROSÉ, Bruno Mars",MC,NULL
Passenger Princess,5,"Aminé, Smino",MC,NULL
tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",MC,NULL
Dead Flowers,0,Boldy James,MC,NULL
WILDFLOWER,90,Billie Eilish,MC,NULL
I Ain't Sayin' - Performance,2,Jordan Davis,MC,NULL
Sailor Song,89,Gigi Perez,MC,NULL
Family Feud - Live at The Ford,2,FINNEAS,MC,NULL
"Good Luck, Babe!",89,Chappell Roan,MC,NULL
What A Woman Can Do - Acoustic,0,Maddie & Tae,MC,NULL
luther (with sza),89,"Kendrick Lamar, SZA",MC,NULL
Lindo Momento,22,Julliany Souza,MC,NULL
luther (with sza),88,"Kendrick Lamar, SZA",MC,NULL
Seu Astral / Mistérios,12,Fiorella,MC,NULL
DENIAL IS A RIVER,88,Doechii,MC,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",MC,NULL
Si Antes Te Hubiera Conocido,88,KAROL G,MC,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,MC,NULL
APT.,87,"ROSÉ, Bruno Mars",MC,NULL
Circles,7,SAINt JHN,MC,NULL
squabble up,87,Kendrick Lamar,MC,NULL
04:30,7,"Haze, Mucco",MC,NULL
Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",MC,NULL
Selfmade Babylon,7,"Bausa, Bozza",MC,NULL
"One Of The Girls (with JENNIE, Lily Rose Depp)",87,"The Weeknd, JENNIE, Lily-Rose Depp",MC,NULL
Standard,6,"Einar, A36",MC,NULL
Like Him (feat. Lola Young),87,"Tyler, The Creator, Lola Young",MC,NULL
Tussi Code Mari,5,"Marcianeke, Crismj",MC,NULL
Messy,86,Lola Young,MC,NULL
Pasatiempo,5,"La China, ECKO",MC,NULL
blue,86,yung kai,MC,NULL
Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",MC,NULL
Qué Pasaría...,86,"Rauw Alejandro, Bad Bunny",MC,NULL
Dużo Ciebie Mi,3,Lemon,MC,NULL
Taste,86,Sabrina Carpenter,MC,NULL
Babylon - Live,3,Tamino,MC,NULL
Loco,86,Neton Vega,MC,NULL
"Fam*ly (feat. Tiji Jojo, DADA & LEX)",4,"BAD HOP, Tiji Jojo, Dada, LEX",MC,NULL
Who,86,Jimin,MC,NULL
Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,2,Billie Eilish,MC,NULL
Scarabocchi,72,"Olly, Juli",IT,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,IT,NULL
BUIO DAVANTI,70,Lazza,IT,NULL
Hurt,11,OneRepublic,IT,NULL
VERTEBRE,69,SETTEMBRE,IT,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",IT,NULL
Quei ricordi là,69,"Olly, Juli",IT,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,IT,NULL
GLI SBANDATI HANNO PERSO,69,Marracash,IT,NULL
Ferrari (feat. Luciano),0,"Capo Plaza, Luciano",IT,NULL
Amore Disperato,69,Achille Lauro,IT,NULL
Circles,7,SAINt JHN,IT,NULL
LEI,68,Marracash,IT,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",IT,NULL
BAMBOLA (feat. Niky Savage),68,"Artie 5ive, Niky Savage",IT,NULL
Passenger Princess,5,"Aminé, Smino",IT,NULL
Devastante,68,"Olly, Juli",IT,NULL
"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",IT,NULL
Tu Me Quieres - Prod. by Higashi x Roberto Ferrante,69,"Baby Gang, Omega, Higashi, Roberto Ferrante",IT,NULL
Still countin / Poppin,0,Yeat,IT,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",IT,NULL
Don't Play by the Rules,3,"D.T.E, PREZIOSO",IT,NULL
Si Antes Te Hubiera Conocido,88,KAROL G,IT,NULL
Un'estate normale,0,Nek,IT,NULL
That’s So True,92,Gracie Abrams,IT,NULL
EA2 (The Beginning of the Era),1,Lil Uzi Vert,IT,NULL
Born With a Broken Heart,77,Damiano David,IT,NULL
"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",IT,NULL
APT.,91,"ROSÉ, Bruno Mars",IT,NULL
Family Feud - Live at The Ford,2,FINNEAS,IT,NULL
Not Like Us,92,Kendrick Lamar,IT,NULL
Ghosts / Slowing Down,0,Scarlet House,IT,NULL
BIRDS OF A FEATHER,93,Billie Eilish,IT,NULL
XI COMANDAMENTO - VASCO LIVE XXII,0,Vasco Rossi,IT,NULL
Sailor Song,89,Gigi Perez,IT,NULL
Rid Of Me - Live,3,Still Woozy,IT,NULL
Gata Only,82,"FloyyMenor, Cris Mj",IT,NULL
Mentalità di mare,0,Ivan,IT,NULL
