nombre,popularity,artista,pais,genero
Si Antes Te Hubiera Conocido,88,KAROL G,AL,NULL
TV - Live From Singapore’s Cloud Forest,2,Billie Eilish,AL,NULL
APT.,87,"ROSÉ, Bruno Mars",AL,NULL
Last Night In Kingston,3,Konan,AL,NULL
squabble up,87,Kendrick Lamar,AL,NULL
I Ain't Sayin' - Performance,2,Jordan Davis,AL,NULL
Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",AL,NULL
Party Jumpin’,3,"Jamie Brown, Marshmello",AL,NULL
"One Of The Girls (with JENNIE, Lily Rose Depp)",87,"The Weeknd, JENNIE, Lily-Rose Depp",AL,NULL
Family Feud - Live at The Ford,2,FINNEAS,AL,NULL
Like Him (feat. Lola Young),87,"Tyler, The Creator, Lola Young",AL,NULL
Aimer à moitié,2,Calema,AL,NULL
Messy,86,Lola Young,AL,NULL
Cono Hielo,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",AL,NULL
blue,86,yung kai,AL,NULL
Qué Pasaría...,86,"Rauw Alejandro, Bad Bunny",AL,NULL
DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",AL,NULL
Taste,86,Sabrina Carpenter,AL,NULL
Pode Ir Embora / Vagalumes / Trânsito Parado,1,Fiorella,AL,NULL
Loco,86,Neton Vega,AL,NULL
Na Nossa Sala / Amor e Amor - Ao Vivo,1,"Rodriguinho, Gaab, Mr. Dan",AL,NULL
Who,86,Jimin,AL,NULL
Vamos Fugir / Aqui É O Seu Lugar,1,Fiorella,AL,NULL
DOLCE GABBANA,63,"TOQUEL, FLY LO, Beyond",GR,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,GR,NULL
Gia Sena,63,"Saske, Grandbois, Th Mark",GR,NULL
Circles,7,SAINt JHN,GR,NULL
ILEGAL,63,"TOQUEL, FLY LO, Beyond",GR,NULL
Dead Flowers,0,Boldy James,GR,NULL
TAMAM,62,"RACK, Sin Laurent",GR,NULL
Hurt,11,OneRepublic,GR,NULL
MOU ZITAS,61,"TOQUEL, FLY LO, Beyond",GR,NULL
"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",GR,NULL
AUTOS,61,Sicario,GR,NULL
Passenger Princess,5,"Aminé, Smino",GR,NULL
SHOOTER ME TN,60,RACK,GR,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,GR,NULL
PELIGROSA,60,"TOQUEL, FLY LO, Beyond",GR,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",GR,NULL
Xiliometra,60,APON,GR,NULL
TV - Live From Singapore’s Cloud Forest,2,Billie Eilish,GR,NULL
Alitiki Agapi,59,"LEX, Dof Twogee",GR,NULL
Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,2,Billie Eilish,GR,NULL
Nyxterides,59,"LEX, Dof Twogee",GR,NULL
Babylon - Live,3,Tamino,GR,NULL
Normal,59,Roi 6/12,GR,NULL
RESPECT MY MOOD (Official Music Video),0,"DUSTY LOCANE, J Hound",GR,NULL
Kataramenos,58,Roi 6/12,GR,NULL
EA2 (The Beginning of the Era),1,Lil Uzi Vert,GR,NULL
Xeiroteri Genia,58,"LEX, Dof Twogee",GR,NULL
Vivien,1,††† (Crosses),GR,NULL
MA BELLA,58,"RACK, TOQUEL, Beyond",GR,NULL
04:30,7,"Haze, Mucco",GR,NULL
Petheno,58,Roi 6/12,GR,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",GR,NULL
Frena,57,Roi 6/12,GR,NULL
Little Window - Live Studio Session,3,FINNEAS,GR,NULL
ISOS,58,Sicario,GR,NULL
"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",GR,NULL
ODIGAO STIN VROXI,56,"TOQUEL, FLY LO, Beyond, Mike G, Ioannis",GR,NULL
Don't Play by the Rules,3,"D.T.E, PREZIOSO",GR,NULL
ANATOLI,57,Marina Satti,GR,NULL
FAKE - BRITs 2022 Rising Star Live Session,1,Lola Young,GR,NULL
Skoni,56,TOQUEL,GR,NULL
Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",GR,NULL
Se Periptosi Pou,57,Anna Vissi,GR,NULL
Chapa,0,"JACASVI, lil Matt",GR,NULL
Vorias,57,APON,GR,NULL
Family Feud - Live at The Ford,2,FINNEAS,GR,NULL
Feggari,56,APON,GR,NULL
123 (feat. Yasin),2,"Cherrie, Yasin",GR,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",GR,NULL
Standard,6,"Einar, A36",GR,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",MT,NULL
Hurt,11,OneRepublic,MT,NULL
BIRDS OF A FEATHER,93,Billie Eilish,MT,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,MT,NULL
That’s So True,92,Gracie Abrams,MT,NULL
Not Like Us,92,Kendrick Lamar,MT,NULL
Don't Play by the Rules,3,"D.T.E, PREZIOSO",MT,NULL
APT.,91,"ROSÉ, Bruno Mars",MT,NULL
Circles,7,SAINt JHN,MT,NULL
"Good Luck, Babe!",89,Chappell Roan,MT,NULL
"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",MT,NULL
tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",MT,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,MT,NULL
Sailor Song,89,Gigi Perez,MT,NULL
Elixir,1,Tommy Saint,MT,NULL
I Adore You (feat. Daecolm),80,"HUGEL, Topic, Arash, Daecolm",MT,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",MT,NULL
Messy,86,Lola Young,MT,NULL
Standard,6,"Einar, A36",MT,NULL
WILDFLOWER,90,Billie Eilish,MT,NULL
Она любила музыку,0,"Dima Bilan, Nataliya Vlasova",MT,NULL
Lose Control,85,Teddy Swims,MT,NULL
Party Jumpin’,3,"Jamie Brown, Marshmello",MT,NULL
Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",MT,NULL
Rid Of Me - Live,3,Still Woozy,MT,NULL
DENIAL IS A RIVER,88,Doechii,MT,NULL
Passenger Princess,5,"Aminé, Smino",MT,NULL
Too Sweet,80,Hozier,MT,NULL
EA2 (The Beginning of the Era),1,Lil Uzi Vert,MT,NULL
Beautiful Things,85,Benson Boone,MT,NULL
Little Window - Live Studio Session,3,FINNEAS,MT,NULL
The Door,82,Teddy Swims,MT,NULL
Last Night In Kingston,3,Konan,MT,NULL
APT.,87,"ROSÉ, Bruno Mars",MT,NULL
Family Feud - Live at The Ford,2,FINNEAS,MT,NULL
ME JALO,85,"Fuerza Regida, Grupo Frontera",MT,NULL
Vivien,1,††† (Crosses),MT,NULL
Move,80,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",MT,NULL
Cono Hielo,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",MT,NULL
luther (with sza),89,"Kendrick Lamar, SZA",MT,NULL
Tuck Your Chain,0,"Money Man, Danny Towers",MT,NULL
Messy,84,Lola Young,MT,NULL
Postcards - Acoustic Version,1,Mackenzy Mackay,MT,NULL
Stumblin' In,80,CYRIL,MT,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",MT,NULL
Taste,86,Sabrina Carpenter,MT,NULL
DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",MT,NULL
"I Love You, I'm Sorry",85,Gracie Abrams,MT,NULL
BABY GANGSTA,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",MT,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",CY,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,CY,NULL
DOLCE GABBANA,63,"TOQUEL, FLY LO, Beyond",CY,NULL
Hurt,11,OneRepublic,CY,NULL
ILEGAL,63,"TOQUEL, FLY LO, Beyond",CY,NULL
Circles,7,SAINt JHN,CY,NULL
Alitiki Agapi,59,"LEX, Dof Twogee",CY,NULL
Family Feud - Live at The Ford,2,FINNEAS,CY,NULL
Xiliometra,60,APON,CY,NULL
La Carta Que Nunca Te Escribí - Remix,0,"Lu Decker, Dudi",CY,NULL
Gia Sena,63,"Saske, Grandbois, Th Mark",CY,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",CY,NULL
MOU ZITAS,61,"TOQUEL, FLY LO, Beyond",CY,NULL
Standard,6,"Einar, A36",CY,NULL
BIRDS OF A FEATHER,93,Billie Eilish,CY,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",CY,NULL
Xeiroteri Genia,58,"LEX, Dof Twogee",CY,NULL
FAKE - BRITs 2022 Rising Star Live Session,1,Lola Young,CY,NULL
TAMAM,62,"RACK, Sin Laurent",CY,NULL
Little Window - Live Studio Session,3,FINNEAS,CY,NULL
Not Like Us,92,Kendrick Lamar,CY,NULL
EA2 (The Beginning of the Era),1,Lil Uzi Vert,CY,NULL
Se Periptosi Pou,57,Anna Vissi,CY,NULL
Party Jumpin’,3,"Jamie Brown, Marshmello",CY,NULL
PELIGROSA,60,"TOQUEL, FLY LO, Beyond",CY,NULL
ILMSY (MOVES),0,Rotimi,CY,NULL
Nyxterides,59,"LEX, Dof Twogee",CY,NULL
Passenger Princess,5,"Aminé, Smino",CY,NULL
AUTOS,61,Sicario,CY,NULL
Last Night In Kingston,3,Konan,CY,NULL
SHOOTER ME TN,60,RACK,CY,NULL
Она любила музыку,0,"Dima Bilan, Nataliya Vlasova",CY,NULL
ISOS,58,Sicario,CY,NULL
Мотыльки,0,"Glukoza, KYIVSTONER",CY,NULL
ANATOLI,57,Marina Satti,CY,NULL
Babylon - Live,3,Tamino,CY,NULL
WILDFLOWER,90,Billie Eilish,CY,NULL
04:30,7,"Haze, Mucco",CY,NULL
MA BELLA,58,"RACK, TOQUEL, Beyond",CY,NULL
Tuck Your Chain,0,"Money Man, Danny Towers",CY,NULL
That’s So True,92,Gracie Abrams,CY,NULL
Ghosts / Slowing Down,0,Scarlet House,CY,NULL
Vorias,57,APON,CY,NULL
Animals in the Ocean,0,Blippi,CY,NULL
tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",CY,NULL
Uzi The Earthling! (TV Show Theme),0,Lil Uzi Vert,CY,NULL
Normal,59,Roi 6/12,CY,NULL
Cancelaram o Carnaval,0,"POCAH, HITMAKER",CY,NULL
Feggari,56,APON,CY,NULL
DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",CY,NULL
