id,nombre,popularity,artista,pais,genero
0,Wackelkontakt,78,Oimara,AT,NULL
1,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",AT,NULL
2,Die With A Smile,96,"Lady Gaga, Bruno Mars",AT,NULL
3,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,AT,NULL
4,That’s So True,91,Gracie Abrams,AT,love at first listen
5,04:30,7,"Haze, Mucco",AT,NULL
6,APT.,91,"ROSÉ, Bruno Mars",AT,NULL
7,Hurt,12,OneRepublic,AT,NULL
8,BIRDS OF A FEATHER,93,Billie Eilish,AT,alt-pop
9,Circles,7,SAINt JHN,AT,NULL
10,Not Like Us,92,Kendrick Lamar,AT,MySpotigramBot
11,Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",AT,NULL
12,Sailor Song,89,Gigi Perez,AT,indie folk
13,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,AT,NULL
14,The Emptiness Machine,78,Linkin Park,AT,Nu Metal
15,Selfmade Babylon,6,"Bausa, Bozza",AT,NULL
16,The Days - NOTION Remix,84,"Chrystal, NOTION",AT,NULL
17,Postcards - Acoustic Version,1,Mackenzy Mackay,AT,NULL
18,Verwandtschaftstreffen,63,RIAN,AT,NULL
19,Don't Play by the Rules,3,"D.T.E, PREZIOSO",AT,NULL
20,"Good Luck, Babe!",89,Chappell Roan,AT,synthpop
21,Passenger Princess,6,"Aminé, Smino",AT,NULL
22,WILDFLOWER,90,Billie Eilish,AT,edu e marco
23,Aimer à moitié,2,Calema,AT,NULL
24,Ma Baby,69,Jazeek,AT,NULL
25,Rodeo (Remix),9,"Lah Pat, Flo Milli",AT,NULL
26,Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",AT,NULL
27,Schifoan,1,"Felix Harrer, Leopold Franz",AT,NULL
28,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",AT,NULL
29,EA2 (The Beginning of the Era),1,Lil Uzi Vert,AT,NULL
30,Messy,86,Lola Young,AT,indie rock
31,Little Window - Live Studio Session,3,FINNEAS,AT,NULL
32,The Emptiness Machine,78,Linkin Park,AT,Nu Metal
33,Anders,0,Tommy,AT,NULL
34,ALL IN (Lieblingslieder),65,Fäaschtbänkler,AT,NULL
35,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",AT,NULL
36,I Adore You (feat. Daecolm),80,"HUGEL, Topic, Arash, Daecolm",AT,NULL
37,Egoist - Live At Elbphilharmonie Hamburg,0,JEREMIAS,AT,NULL
38,eehhhyyy,67,"Zartmann, Drumla, Dauner",AT,NULL
39,Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,3,Billie Eilish,AT,NULL
40,Kisses (feat. bbyclose),79,"BL3SS, CamrinWatsin, bbyclose",AT,NULL
41,Un'estate normale,0,Nek,AT,NULL
42,Stumblin' In,79,CYRIL,AT,cover
43,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",AT,NULL
44,Fata Morgana,70,Nina Chuba,AT,NULL
45,Bank of Wildflowers (feat. Georgia),0,"William Orbit, Georgia",AT,NULL
46,APT.,87,"ROSÉ, Bruno Mars",AT,NULL
47,Bruder,0,"Nico K.I.Z, Yassin",AT,NULL
48,DENIAL IS A RIVER,88,Doechii,AT,Hip-Hop
49,Party Jumpin’,2,"Jamie Brown, Marshmello",AT,NULL
50,Wackelkontakt,78,Oimara,DE,NULL
51,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",DE,NULL
52,Die With A Smile,96,"Lady Gaga, Bruno Mars",DE,NULL
53,Selfmade Babylon,6,"Bausa, Bozza",DE,NULL
54,APT.,91,"ROSÉ, Bruno Mars",DE,NULL
55,04:30,7,"Haze, Mucco",DE,NULL
56,That’s So True,91,Gracie Abrams,DE,love at first listen
57,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,DE,NULL
58,Not Like Us,92,Kendrick Lamar,DE,MySpotigramBot
59,Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",DE,NULL
60,Fata Morgana,70,Nina Chuba,DE,NULL
61,Hurt,12,OneRepublic,DE,NULL
62,BIRDS OF A FEATHER,93,Billie Eilish,DE,alt-pop
63,Rodeo (Remix),9,"Lah Pat, Flo Milli",DE,NULL
64,Ma Baby,69,Jazeek,DE,NULL
65,Circles,7,SAINt JHN,DE,NULL
66,The Days - NOTION Remix,84,"Chrystal, NOTION",DE,NULL
67,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,DE,NULL
68,Sailor Song,89,Gigi Perez,DE,indie folk
69,Anders,0,Tommy,DE,NULL
70,The Emptiness Machine,78,Linkin Park,DE,Nu Metal
71,Bruder,0,"Nico K.I.Z, Yassin",DE,NULL
72,eehhhyyy,67,"Zartmann, Drumla, Dauner",DE,NULL
73,Schifoan,1,"Felix Harrer, Leopold Franz",DE,NULL
74,I Adore You (feat. Daecolm),80,"HUGEL, Topic, Arash, Daecolm",DE,NULL
75,Don't Play by the Rules,3,"D.T.E, PREZIOSO",DE,NULL
76,Rote Flaggen,67,Berq,DE,clinically romantic
77,Passenger Princess,6,"Aminé, Smino",DE,NULL
78,Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",DE,NULL
79,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",DE,NULL
80,Kisses (feat. bbyclose),79,"BL3SS, CamrinWatsin, bbyclose",DE,NULL
81,Aimer à moitié,2,Calema,DE,NULL
82,Butcher,67,"Sosa La M, Luciano",DE,NULL
83,Postcards - Acoustic Version,1,Mackenzy Mackay,DE,NULL
84,WILDFLOWER,90,Billie Eilish,DE,edu e marco
85,Little Window - Live Studio Session,3,FINNEAS,DE,NULL
86,Messy,86,Lola Young,DE,indie rock
87,Babylon - Live,4,Tamino,DE,NULL
88,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",DE,NULL
89,Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,3,Billie Eilish,DE,NULL
90,The Emptiness Machine,78,Linkin Park,DE,Nu Metal
91,Family Feud - Live at The Ford,2,FINNEAS,DE,NULL
92,PLAYBOYBUNNIES,67,"Jazeek, Luciano, Miksu / Macloud",DE,NULL
93,Elixir,1,Tommy Saint,DE,NULL
94,Thank You (Not So Bad),78,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",DE,NULL
95,Rid Of Me - Live,3,Still Woozy,DE,NULL
96,Vois sur ton chemin - Techno Mix,75,BENNETT,DE,techno
97,"ARIES ""The Charismatic"" - Official Piano Tutorial",0,Tony Ann,DE,NULL
98,"Good Luck, Babe!",89,Chappell Roan,DE,synthpop
99,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",DE,NULL
100,Die With A Smile,96,"Lady Gaga, Bruno Mars",CH,NULL
101,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",CH,NULL
102,That’s So True,91,Gracie Abrams,CH,love at first listen
103,Hurt,12,OneRepublic,CH,NULL
104,APT.,91,"ROSÉ, Bruno Mars",CH,NULL
105,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,CH,NULL
106,BIRDS OF A FEATHER,93,Billie Eilish,CH,alt-pop
107,Oublier,1,Rsko,CH,NULL
108,Not Like Us,92,Kendrick Lamar,CH,MySpotigramBot
109,04:30,7,"Haze, Mucco",CH,NULL
110,Wackelkontakt,78,Oimara,CH,NULL
111,Aimer à moitié,2,Calema,CH,NULL
112,Sailor Song,89,Gigi Perez,CH,indie folk
113,Circles,7,SAINt JHN,CH,NULL
114,I Adore You (feat. Daecolm),80,"HUGEL, Topic, Arash, Daecolm",CH,NULL
115,Das riecht gut / Ça Sent Bon,4,"Team Karacho, Roger Rekless",CH,NULL
116,Si Antes Te Hubiera Conocido,87,KAROL G,CH,latin
117,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,CH,NULL
118,WILDFLOWER,90,Billie Eilish,CH,edu e marco
119,Passenger Princess,6,"Aminé, Smino",CH,NULL
120,Messy,86,Lola Young,CH,indie rock
121,Rodeo (Remix),9,"Lah Pat, Flo Milli",CH,NULL
122,Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",CH,NULL
123,Little Window - Live Studio Session,3,FINNEAS,CH,NULL
124,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",CH,NULL
125,Party Jumpin’,2,"Jamie Brown, Marshmello",CH,NULL
126,Lose Control,85,Teddy Swims,CH,soul
127,Selfmade Babylon,6,"Bausa, Bozza",CH,NULL
128,Beautiful Things,85,Benson Boone,CH,pop
129,Postcards - Acoustic Version,1,Mackenzy Mackay,CH,NULL
130,Move,80,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",CH,NULL
131,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",CH,NULL
132,APT.,87,"ROSÉ, Bruno Mars",CH,NULL
133,TV - Live From Singapore’s Cloud Forest,3,Billie Eilish,CH,NULL
134,Stumblin' In,79,CYRIL,CH,cover
135,I Ain't Sayin' - Performance,2,Jordan Davis,CH,NULL
136,"Good Luck, Babe!",89,Chappell Roan,CH,synthpop
137,Don't Play by the Rules,3,"D.T.E, PREZIOSO",CH,NULL
138,The Sound of Silence - CYRIL Remix,78,"Disturbed, CYRIL",CH,NULL
139,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",CH,NULL
140,Black Friday (pretty like the sun),78,"Lost Frequencies, Tom Odell",CH,NULL
141,Dingue de toi (Turn me on) [feat. Dana],0,"Alexy Large, Dana",CH,NULL
142,NANANI NANANA,74,Gazo,CH,NULL
143,Babylon - Live,4,Tamino,CH,NULL
144,Gata Only,82,"FloyyMenor, Cris Mj",CH,NULL
145,EA2 (The Beginning of the Era),1,Lil Uzi Vert,CH,NULL
146,I Don't Wanna Wait,80,"David Guetta, OneRepublic",CH,NULL
147,Tuck Your Chain,0,"Money Man, Danny Towers",CH,NULL
