id,nombre,popularity,artista,pais,genero
92,Зиг-заг,42,Galena,BG,NULL
93,FAKE - BRITs 2022 Rising Star Live Session,1,Lola Young,BG,NULL
94,Филм за нас,41,"Tsvetelina Yaneva, Medi",BG,NULL
95,Сиромах,0,Emanuela,BG,NULL
96,APT.,91,"ROSÉ, Bruno Mars",BG,NULL
97,ILMSY (MOVES),0,Rotimi,BG,NULL
98,Pistácie (feat. Sofian Medjmedj),64,"Calin, Sofian Medjmedj",CZ,NULL
99,Hurt,12,OneRepublic,CZ,NULL
100,Vítej mezi náma (feat. STEIN27),60,"Calin, STEIN27",CZ,NULL
101,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,CZ,NULL
102,Syndrom,59,Viktor Sheen,CZ,NULL
103,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,CZ,NULL
104,Cígo a káva (feat. Saul),59,"Viktor Sheen, Saul",CZ,NULL
105,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",CZ,NULL
106,KSN,58,"Yzomandias, P T K",CZ,NULL
107,Circles,7,SAINt JHN,CZ,NULL
108,Die With A Smile,96,"Lady Gaga, Bruno Mars",CZ,NULL
109,TV - Live From Singapore’s Cloud Forest,3,Billie Eilish,CZ,NULL
110,Sailor Song,89,Gigi Perez,CZ,indie folk
111,Family Feud - Live at The Ford,2,FINNEAS,CZ,NULL
112,That’s So True,91,Gracie Abrams,CZ,love at first listen
113,Don't Play by the Rules,3,"D.T.E, PREZIOSO",CZ,NULL
114,Pátky,55,Viktor Sheen,CZ,NULL
115,Armáda Lásky,0,"Vojtech Dyk, D.Y.K.",CZ,NULL
116,BIRDS OF A FEATHER,93,Billie Eilish,CZ,alt-pop
117,Happier Than Ever - Live From Disney’s Happier Than Ever/A Love Letter to Los Angeles,3,Billie Eilish,CZ,NULL
118,Roleplay,55,Viktor Sheen,CZ,NULL
119,Party Jumpin’,2,"Jamie Brown, Marshmello",CZ,NULL
120,Mentira Estampada,73,"Wesley Safadão, Natanzinho Lima",CZ,NULL
121,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",CZ,NULL
122,Safír,55,"Calin, Viktor Sheen",CZ,NULL
123,Rodeo (Remix),9,"Lah Pat, Flo Milli",CZ,NULL
124,É Que Eu Sofri Demais,73,Kleyton Souza,CZ,NULL
125,EA2 (The Beginning of the Era),1,Lil Uzi Vert,CZ,NULL
126,Suave,55,Calin,CZ,NULL
127,เพิ่งรู้(Never Knew),0,"Earth Pirapat, Mix Sahaphap",CZ,NULL
128,Ohnivej kruh,54,Viktor Sheen,CZ,NULL
129,Passenger Princess,6,"Aminé, Smino",CZ,NULL
130,APT.,91,"ROSÉ, Bruno Mars",CZ,NULL
131,Playa (feat. Ella Bands),0,"A Boogie Wit da Hoodie, Ella Bands",CZ,NULL
132,Painkillers,56,"Yzomandias, P T K, Luca Brassi10x, Le Winter",CZ,NULL
133,Last Night In Kingston,3,Konan,CZ,NULL
134,Uma e Quinze da Manhã,78,Natanzinho Lima,CZ,NULL
135,Full Round Table,0,CQ Wrestling,CZ,NULL
136,Brick na brick,54,Hard Rico,CZ,NULL
137,Little Window - Live Studio Session,3,FINNEAS,CZ,NULL
138,Převlečená žízeň,53,Viktor Sheen,CZ,NULL
139,My Blood,0,DANNY AVILA,CZ,NULL
140,Pro štěstí,53,Ektor,CZ,NULL
141,Postcards - Acoustic Version,1,Mackenzy Mackay,CZ,NULL
142,V Hlavě,53,"P T K, Yzomandias, Viktor Sheen",CZ,NULL
143,"2001 // Life Is Yours - The Colour Wheel Session , London 2022",0,Foals,CZ,NULL
144,omluva,53,Ben Cristovao,CZ,NULL
145,Vivien,1,††† (Crosses),CZ,NULL
146,The Days - NOTION Remix,84,"Chrystal, NOTION",CZ,NULL
147,FAKE - BRITs 2022 Rising Star Live Session,1,Lola Young,CZ,NULL
148,Pistácie (feat. Sofian Medjmedj),64,"Calin, Sofian Medjmedj",SK,NULL
149,Hurt,12,OneRepublic,SK,NULL
150,Die With A Smile,96,"Lady Gaga, Bruno Mars",SK,NULL
151,Circles,7,SAINt JHN,SK,NULL
152,Cígo a káva (feat. Saul),59,"Viktor Sheen, Saul",SK,NULL
153,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,SK,NULL
154,Painkillers,56,"Yzomandias, P T K, Luca Brassi10x, Le Winter",SK,NULL
155,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",SK,NULL
156,BIRDS OF A FEATHER,93,Billie Eilish,SK,alt-pop
157,Babylon - Live,4,Tamino,SK,NULL
158,Syndrom,59,Viktor Sheen,SK,NULL
159,Passenger Princess,6,"Aminé, Smino",SK,NULL
160,Vítej mezi náma (feat. STEIN27),60,"Calin, STEIN27",SK,NULL
161,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,SK,NULL
162,APT.,91,"ROSÉ, Bruno Mars",SK,NULL
163,Little Window - Live Studio Session,3,FINNEAS,SK,NULL
164,NENI STRE$S,54,"Pil C, Luca Brassi10x, Separ",SK,NULL
165,Aimer à moitié,2,Calema,SK,NULL
166,Sailor Song,89,Gigi Perez,SK,indie folk
167,Swimming with Sharks,0,New Hope Club,SK,NULL
168,That’s So True,91,Gracie Abrams,SK,love at first listen
169,THE DINER - ISOLATED VOCALS/Visualizer,0,Billie Eilish,SK,NULL
170,Not Like Us,92,Kendrick Lamar,SK,MySpotigramBot
171,rollin',0,TAELA,SK,NULL
172,Iné Plemená,54,"Sara Rikas, Viktor Sheen",SK,NULL
173,Silverlines Orchestral Version,0,Damiano David,SK,NULL
174,Bbejbb,53,"Separ, Peter Pann",SK,NULL
175,เปล่าหวง (Jealous),0,"Lookmhee Punyapat, Sonya Saranphat",SK,NULL
176,KSN,58,"Yzomandias, P T K",SK,NULL
177,อย่างที่ฉันนั้นเป็นของเธอ (I'm Yours),0,"Sonya Saranphat, Lookmhee Punyapat",SK,NULL
178,AM4,49,"Shimmi, SIMILIVINLIFE, GABRIELL",SK,NULL
179,"2001 // Life Is Yours - The Colour Wheel Session , London 2022",0,Foals,SK,NULL
180,Biely šum na spanie,47,"Biely Šum, Biely Šum Spať",SK,NULL
181,Don't Play by the Rules,3,"D.T.E, PREZIOSO",SK,NULL
182,Safír,55,"Calin, Viktor Sheen",SK,NULL
183,Rodeo (Remix),9,"Lah Pat, Flo Milli",SK,NULL
184,7DIGITS,47,Separ,SK,NULL
185,FAKE - BRITs 2022 Rising Star Live Session,1,Lola Young,SK,NULL
186,Clean Baby Sleep White Noise (Loopable),91,"Dream Supplier, Baby Sleeps, Background White Noise",SK,NULL
187,EA2 (The Beginning of the Era),1,Lil Uzi Vert,SK,NULL
188,Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",SK,NULL
189,Vivien,1,††† (Crosses),SK,NULL
190,The Days - NOTION Remix,84,"Chrystal, NOTION",SK,NULL
191,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",SK,NULL
192,Sunset,52,"Separ, Jerry Lee, P T K",SK,NULL
193,Elixir,1,Tommy Saint,SK,NULL
194,Suave,55,Calin,SK,NULL
195,Party Jumpin’,2,"Jamie Brown, Marshmello",SK,NULL
196,I Got It (feat. Shimmi),49,"Calin, Shimmi",SK,NULL
197,Мотыльки,0,"Glukoza, KYIVSTONER",SK,NULL
198,PANNONIA,55,"DESH, Young Fly, Azahriah",HU,NULL
199,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,HU,NULL
200,SUV,55,"DESH, Young Fly",HU,NULL
201,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",HU,NULL
202,MOKKA,55,"DESH, Young Fly",HU,NULL
203,Hurt,12,OneRepublic,HU,NULL
204,Die With A Smile,96,"Lady Gaga, Bruno Mars",HU,NULL
205,Circles,7,SAINt JHN,HU,NULL
206,Passport,53,BSW,HU,NULL
207,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,HU,NULL
208,díva,53,"Dzsúdló, DESH",HU,NULL
209,"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",HU,NULL
210,VIDÉKI CSAJSZI,52,T. Danny,HU,NULL
211,Rodeo (Remix),9,"Lah Pat, Flo Milli",HU,NULL
212,Úgy Hiszem,52,Pogány Induló,HU,NULL
213,Don't Play by the Rules,3,"D.T.E, PREZIOSO",HU,NULL
214,BAKPAKK,52,"DESH, Young Fly, Azahriah",HU,NULL
215,Passenger Princess,6,"Aminé, Smino",HU,NULL
216,Lidokain,52,"BSW, ByeAlex és a Slepp",HU,NULL
217,Babylon - Live,4,Tamino,HU,NULL
218,Not Like Us,92,Kendrick Lamar,HU,MySpotigramBot
219,Swimming with Sharks,0,New Hope Club,HU,NULL
220,Strawberry,52,DESH,HU,NULL
221,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",HU,NULL
222,That’s So True,91,Gracie Abrams,HU,love at first listen
223,EA2 (The Beginning of the Era),1,Lil Uzi Vert,HU,NULL
224,EGY/KETTŐ,51,Pogány Induló,HU,NULL
225,Family Feud - Live at The Ford,2,FINNEAS,HU,NULL
226,BIRDS OF A FEATHER,93,Billie Eilish,HU,alt-pop
227,crocodile tears,0,TAELA,HU,NULL
228,LEVÉL,51,DESH,HU,NULL
229,04:30,7,"Haze, Mucco",HU,NULL
230,APT.,91,"ROSÉ, Bruno Mars",HU,NULL
231,Vivien,1,††† (Crosses),HU,NULL
232,Mámor,50,Pogány Induló,HU,NULL
233,Little Window - Live Studio Session,3,FINNEAS,HU,NULL
234,BANDANA,50,"KKevin, DESH, Young Fly",HU,NULL
235,Party Jumpin’,2,"Jamie Brown, Marshmello",HU,NULL
236,Felednéd,50,"Azahriah, DESH",HU,NULL
