id,nombre,popularity,artista,pais,genero
0,All The Stars (with SZA),90,"Kendrick Lamar, SZA",AT,NULL
1,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,AT,NULL
2,The Night We Met,84,Lord Huron,AT,NULL
3,Liebe Grüße (mit Fatoni),0,"Antilopen Gang, Fatoni",AT,NULL
4,Neymar,63,"Capital Bra, Ufo361",AT,NULL
5,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",AT,NULL
6,Swim,83,Chase Atlantic,AT,NULL
7,Matador (feat. Tommy),1,"CAPO, Tommy",AT,NULL
8,Softcore,81,The Neighbourhood,AT,NULL
9,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,AT,NULL
10,HIGHEST IN THE ROOM,80,Travis Scott,AT,NULL
11,Enamorado,2,Alexander Stewart,AT,NULL
12,Hauseingang,63,Pashanim,AT,NULL
13,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",AT,NULL
14,Ohne mein Team,62,"Bonez MC, RAF Camora, Maxwell",AT,NULL
15,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,AT,NULL
16,HUMBLE.,84,Kendrick Lamar,AT,NULL
17,Durch die schweren Zeiten (I'll Carry You) [feat. Angus & Julia Stone] [MTV Unplugged 2] - Live vom Atlantik 2018,0,"Udo Lindenberg, Angus & Julia Stone",AT,NULL
18,Something Just Like This,83,"The Chainsmokers, Coldplay",AT,NULL
19,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,AT,NULL
20,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",AT,NULL
21,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,AT,NULL
22,Lush Life,77,Zara Larsson,AT,NULL
23,Pakete,0,Tommy,AT,NULL
24,Falling Down - Bonus Track,79,"Lil Peep, XXXTENTACION",AT,NULL
25,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",AT,NULL
26,Where's My Love,76,SYML,AT,NULL
27,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,AT,NULL
28,lovely (with Khalid),82,"Billie Eilish, Khalid",AT,NULL
29,Stretch,0,Louise,AT,NULL
