id,nombre,popularity,artista,pais,genero
0,Tu jardín con enanitos,69,Melendi,ES,pop
1,Now Is the Time (feat. Jasmine V),0,Wally Lopez,ES,NULL
2,Es un Secreto,77,Plan B,ES,Reggaeton
3,Plastic Dreams 2003,2,JayDee,ES,NULL
4,La promesa,65,Melendi,ES,NULL
5,Smile,0,"Abel The Kid, Julio Iglesias Jr.",ES,NULL
6,Another Love,82,Tom Odell,ES,indie
7,No hay mañanas,0,Revolver,ES,revolver88
8,Just the Way You Are,78,Bruno Mars,ES,pop
9,Smooth Criminal,0,Michael Jackson,ES,pop
10,Lágrimas desordenadas,60,Melendi,ES,melendi
11,Quiero aire,0,Revolver,ES,NULL
12,A Sky Full of Stars,83,Coldplay,ES,pop
13,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,ES,NULL
14,Propuesta Indecente,75,Romeo Santos,ES,bachata
15,My Love a Piece of My Love (feat. Snoop Dogg),0,"Abel The Kid, Julio Iglesias Jr.",ES,NULL
16,Barbie de extrarradio,60,Melendi,ES,español
17,Il fait chaud,0,Patrick Sébastien,ES,fiesta
18,Locked out of Heaven,85,Bruno Mars,ES,pop
19,Bitch House,0,Sexplosion,ES,NULL
20,Wake Me Up,82,Avicii,ES,electronic
21,Losing You,0,Revolver,ES,fip
22,Demons,79,Imagine Dragons,ES,rock
23,Wind Song,0,Revolver,ES,indie
24,Bailando por Ahi,58,Juan Magán,ES,NULL
25,Iré tras de ti,0,Mr.,ES,NULL
26,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",ES,NULL
27,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,ES,NULL
28,Limbo,71,Daddy Yankee,ES,Reggaeton
29,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,ES,NULL
30,La Mujer de Verde,57,IZAL,ES,NULL
31,Wild Out Anthem (feat. Jay Colin),0,Wally Lopez,ES,NULL
32,When I Was Your Man,83,Bruno Mars,ES,pop
33,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,ES,NULL
34,Cheque al portamor,62,Melendi,ES,NULL
35,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,ES,NULL
36,Estoy Hecho De Pedacitos De Ti,56,Antonio Orozco,ES,Flamenco
37,Ballada o Janku Wisniewskim,1,Kazik,ES,rock
38,All of Me,81,John Legend,ES,rnb
39,Invisibili,0,Ape Escape,ES,NULL
40,Titanium (feat. Sia),77,"David Guetta, Sia",ES,NULL
41,"Rum Whisky (From ""Vicky Donor"")",0,"Abhishek - Akshay, Akshay Verma",ES,NULL
