id,nombre,popularity,artista,pais,genero
110,Shanghain valot,44,Annika Eklund,FI,iskelma
111,J'étais comme eux,0,Demon One,FI,NULL
112,Just Dance,77,"Lady Gaga, Colby O'Donis",FI,NULL
113,My Name Is,0,Eminem,FI,rap
114,Heartless,80,Kanye West,FI,Kanye West
115,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,FI,NULL
116,Bad Romance,79,Lady Gaga,FI,pop
117,Odio,1,Revolver,FI,spanish
118,505,81,Arctic Monkeys,FI,indie rock
119,Historia universal (El amor no es lo que piensas),0,DELUXE,FI,indie
120,Maneater,78,Nelly Furtado,FI,pop
121,Coming Home,0,Sasha,FI,pop
122,Romeo Ja Julia - Original Mix,43,Movetron,FI,NULL
123,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,FI,NULL
124,Feel Good Inc.,82,Gorillaz,FI,alternative
125,Colillas en el sueño,0,DELUXE,FI,NULL
126,Lautturi,43,PMMP,FI,Suomi
127,Goodbye,0,Sasha,FI,pop
128,Homecoming,76,"Kanye West, Chris Martin",FI,NULL
129,Stars of CCTV - Live at the Astoria,0,Hard-Fi,FI,NULL
130,Flashing Lights,80,"Kanye West, Dwele",FI,NULL
131,Tendremos que esperar,0,DELUXE,FI,spanish pop
132,This Is The Life,72,Amy Macdonald,FI,female vocalists
133,Mi rendición,0,Revolver,FI,Rock en Espanol
134,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",FI,NULL
135,Si es tan solo amor,0,Revolver,FI,blues guitar
136,Puhu äänellä jonka kuulen,42,Happoradio,FI,finnish
137,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,FI,NULL
138,Don't Stop The Music,78,Rihanna,FI,dance
139,Start Of Something New,0,"Troy, Vanessa Hudgens",FI,NULL
140,Amaranth,42,Nightwish,FI,symphonic metal
141,No va más,0,Revolver,FI,rich spanish pop
142,Mitä tänne jää,42,Cheek,FI,Suomirap
143,Slowly,0,Sasha,FI,pop
144,"You're Gonna Go Far, Kid",76,The Offspring,FI,punk rock
145,Womanizer (Director's Cut),0,Britney Spears,FI,my dance room
146,We Are The People,76,Empire Of The Sun,FI,electronic
147,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,FI,NULL
148,Kids,76,MGMT,FI,electronic
149,B.Y.O.B.,0,System Of A Down,FI,alternative metal
150,Fallegur dagur,33,Bubbi Morthens,IS,NULL
151,Save Me,1,"Morandi, Helene",IS,NULL
152,Viva La Vida,82,Coldplay,IS,Coldplay
153,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,IS,NULL
154,Headlock,83,Imogen Heap,IS,electronic
155,Odio,1,Revolver,IS,spanish
156,Breakin' Dishes,81,Rihanna,IS,rnb
157,Clapton: Tears in Heaven/video,1,The Choirboys,IS,NULL
158,Heartless,80,Kanye West,IS,Kanye West
159,Historia universal (El amor no es lo que piensas),0,DELUXE,IS,indie
160,Flashing Lights,80,"Kanye West, Dwele",IS,NULL
161,Get Around Town,0,Revolver,IS,rock
162,Undir þínum áhrifum,30,Sálin hans Jóns míns,IS,icelandic pop
163,Coming Home,0,Sasha,IS,pop
164,Ást,30,Ragga Gröndal,IS,NULL
165,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,IS,NULL
166,Feel Good Inc.,82,Gorillaz,IS,alternative
167,Colillas en el sueño,0,DELUXE,IS,NULL
168,Bí bí og blaka,30,"Sesselja Magnúsdóttir, Friðrik Karlsson",IS,NULL
169,Goodbye,0,Sasha,IS,pop
170,Homecoming,76,"Kanye West, Chris Martin",IS,NULL
171,Stars of CCTV - Live at the Astoria,0,Hard-Fi,IS,NULL
172,Nýtt líf,29,Friðrik Karlsson,IS,NULL
173,Tendremos que esperar,0,DELUXE,IS,spanish pop
174,Gemmér,29,XXX Rottweiler hundar,IS,NULL
175,Mi rendición,0,Revolver,IS,Rock en Espanol
176,Fix You,81,Coldplay,IS,Coldplay
177,J'étais comme eux,0,Demon One,IS,NULL
178,Can't Tell Me Nothing,77,Kanye West,IS,Hip-Hop
179,Si es tan solo amor,0,Revolver,IS,blues guitar
180,Sex on Fire,79,Kings of Leon,IS,rock
181,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,IS,NULL
182,Þú fullkomnar mig,29,Sálin hans Jóns míns,IS,NULL
183,Start Of Something New,0,"Troy, Vanessa Hudgens",IS,NULL
184,I Wonder,78,Kanye West,IS,Hip-Hop
185,No va más,0,Revolver,IS,rich spanish pop
186,Poker Face,79,Lady Gaga,IS,pop
187,Slowly,0,Sasha,IS,pop
188,Don't Stop The Music,78,Rihanna,IS,dance
189,Soulcrusher,0,Operator,IS,Grunge
190,Meira frelsi,27,Merzedes Club,IS,NULL
191,Womanizer (Director's Cut),0,Britney Spears,IS,my dance room
192,Verum í sambandi,28,Sprengjuhöllin,IS,icelandic
193,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,IS,NULL
