,nombre,popularity,artista,pais,genero
87,Smile,0,"Abel The Kid, Julio Iglesias Jr.",EE,NULL
88,The Spins,78,"Mac Miller, Empire Of The Sun",EE,NULL
89,G.U.Y. - An ARTPOP Film,0,Lady Gaga,EE,gaga
90,A.V.R.,31,Suur Papa,EE,NULL
91,好不好,0,Evan Yo,EE,fabulous boys
92,Do I Wanna Know?,82,Arctic Monkeys,EE,indie rock
93,Samba Pras Moças,0,Mariene De Castro,EE,NULL
94,Another Love,82,Tom Odell,EE,indie
95,Hardkor i disko,0,Sofa,EE,indie
96,Love Me,80,"Lil Wayne, Drake, Future",EE,NULL
97,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",EE,NULL
98,Memories (feat. Kid Cudi),75,"David Guetta, Kid Cudi",EE,NULL
99,Losing You,0,Revolver,EE,fip
100,Häissä (feat. Märkä-Simo),47,"JVG, Märkä-Simo",FI,NULL
101,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,FI,NULL
102,Sweater Weather,85,The Neighbourhood,FI,indie
103,Now Is the Time (feat. Jasmine V),0,Wally Lopez,FI,NULL
104,I Wanna Be Yours,86,Arctic Monkeys,FI,indie rock
105,Plastic Dreams 2003,2,JayDee,FI,NULL
106,Judas,76,Lady Gaga,FI,pop
107,Bede Z Toba,9,Lemon,FI,NULL
108,Another Love,82,Tom Odell,FI,indie
109,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,FI,NULL
110,Jos Mun Pokka Pettää,44,Haloo Helsinki!,FI,suomirock
111,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,FI,NULL
112,Wake Me Up,82,Avicii,FI,electronic
113,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,FI,NULL
114,Jippikayjei,44,Cheek,FI,Hip-Hop
115,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,FI,NULL
116,Only Girl (In The World),79,Rihanna,FI,pop
117,My Girl (feat. Trevor Jackson),0,"Diggy, Trevor Jackson",FI,NULL
118,Olet puolisoni nyt,44,Samuli Putro,FI,favorites
119,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,FI,NULL
120,Timantit on ikuisia,43,Cheek,FI,Hip-Hop
121,Ballada o Janku Wisniewskim,1,Kazik,FI,rock
122,She Will,75,"Lil Wayne, Drake",FI,NULL
123,Crack the Skye,0,Mastodon,FI,Progressive metal
124,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",FI,NULL
125,Us Against the World,0,Steve Harris,FI,heavy metal
126,A Sky Full of Stars,83,Coldplay,FI,pop
127,Bede Z Toba - Hangout Live,2,Lemon,FI,NULL
128,Kesäyö,43,Pariisin Kevät,FI,pop
129,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,FI,NULL
130,No Role Modelz,81,J. Cole,FI,MySpotigramBot
131,Iré tras de ti,0,Mr.,FI,NULL
132,Kran Turismo (feat. Raappana),43,"JVG, Raappana",FI,NULL
133,Il fait chaud,0,Patrick Sébastien,FI,fiesta
134,Syypää sun hymyyn (feat. Yasmine Yamajako),43,"Cheek, Yasmine Yamajako",FI,NULL
135,Lågsus (feat. Medina),0,"Specktors, Medina",FI,NULL
136,Money Trees,79,"Kendrick Lamar, Jay Rock",FI,NULL
137,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",FI,NULL
138,S&M,78,Rihanna,FI,pop
139,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",FI,NULL
140,Vapaus käteen jää,42,Haloo Helsinki!,FI,rock
141,The Real Slim Shady - Edited,0,Eminem,FI,NULL
142,International Love (feat. Chris Brown),77,"Pitbull, Chris Brown",FI,NULL
143,Smile,0,"Abel The Kid, Julio Iglesias Jr.",FI,NULL
144,Set Fire to the Rain,77,Adele,FI,soul
145,G.U.Y. - An ARTPOP Film,0,Lady Gaga,FI,gaga
146,Love The Way You Lie,80,"Eminem, Rihanna",FI,NULL
147,好不好,0,Evan Yo,FI,fabulous boys
148,Summertime Sadness,78,Lana Del Rey,FI,indie
149,Samba Pras Moças,0,Mariene De Castro,FI,NULL
150,Dvel ég í draumahöll,44,Hafdís Huld,IS,NULL
151,Bede Z Toba,9,Lemon,IS,NULL
