id,nombre,popularity,artista,pais,genero
0,El Efecto - Remix,68,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",ES,NULL
1,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",ES,NULL
2,Amanece,75,"Anuel AA, Haze",ES,NULL
3,Enamorado,2,Alexander Stewart,ES,pop
4,Hasta Que Me Muera,70,Bryant Myers,ES,NULL
5,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,ES,NULL
6,Fiebre (Prod. King DouDou),67,Bad Gyal,ES,neoperreo
7,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",ES,NULL
8,No Me Conoce - Remix,77,"JHAYCO, J Balvin, Bad Bunny",ES,NULL
9,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",ES,NULL
10,LA CANCIÓN,80,"J Balvin, Bad Bunny",ES,NULL
11,Stretch,0,Louise,ES,great quality stuff
12,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",75,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn",ES,NULL
13,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,ES,NULL
14,Sola (Remix),74,"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",ES,NULL
15,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,ES,NULL
16,Borro Cassette,77,Maluma,ES,Reggaeton
17,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,ES,NULL
18,A Mí,76,Rels B,ES,latin
19,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,ES,NULL
20,Madura,73,"Cosculluela, Bad Bunny",ES,NULL
21,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,ES,NULL
22,Antes de Morirme (feat. ROSALÍA),67,"C. Tangana, ROSALÍA",ES,NULL
23,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",ES,NULL
24,Esclava - Remix,72,"Bryant Myers, Anonimus, Anuel AA, Almighty",ES,NULL
25,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,ES,NULL
26,Se Preparó,75,Ozuna,ES,latin
27,Did You Love Me,0,Shannon & the Clams,ES,NULL
28,Diles,74,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",ES,NULL
29,Even Angels (feat. Blas Cantó),0,"Carlos Marco, Blas Cantó",ES,NULL
30,Cómo Te Atreves,71,Morat,ES,spanish
31,言葉のいらない約束,0,sana,ES,J-rock
32,Te Pintaron Pajaritos,70,"Yandar & Yostin, Andy Rivera",ES,NULL
33,Skrrt,7,"K27, Einar",ES,NULL
34,X (feat. Maluma & Ozuna) - Remix,77,"Nicky Jam, J Balvin, Maluma, Ozuna",ES,NULL
35,Tabarnak,0,Volo,ES,NULL
36,Cuando Nadie Ve,74,Morat,ES,NULL
37,Hate to Love (feat. Jamie T),0,"Beatsteaks, Jamie T",ES,NULL
38,Besos En Guerra,73,"Morat, Juanes",ES,NULL
39,REASON,0,SYU(from GALNERYUS),ES,NULL
40,Caile,69,"Bad Bunny, Bryant Myers, De La Ghetto, Revol, Zion",ES,NULL
41,Smooth Sailin' - Live,0,Leon Bridges,ES,NULL
42,Manicomio,70,Cosculluela,ES,NULL
43,Lead Me On,0,Louise,ES,NULL
44,She Don't Give a Fo,69,"Duki, KHEA",ES,NULL
45,"Popurrí Navidad Navidad (Campana sobre campana / 25 de diciembre / Alegría, alegría, alegría)",0,Pica-Pica,ES,NULL
46,El Perdedor,76,Maluma,ES,Reggaeton
47,No Soy Como Tú Crees (Acústico),0,Ana Mena,ES,NULL
48,Loco,73,Beéle,ES,NULL
49,Lo Saben Mis Zapatos - En Directo En El Palau Sant Jordi / 2018,0,Pablo López,ES,NULL
50,Vrais,68,Ninho,FR,NULL
51,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",FR,NULL
52,Sous la lune,70,Jul,FR,NULL
53,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",FR,NULL
54,La vie qu'on mène,68,Ninho,FR,NULL
55,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,FR,NULL
56,Putana,67,Ninho,FR,NULL
57,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,FR,NULL
58,Big Daddy Jok,66,Jok'air,FR,NULL
59,Mi Gna (Maître Gims Remix) (feat. Hayko),0,"GIMS, Super Sako, Hayko",FR,NULL
60,Où aller,64,GIMS,FR,NULL
61,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,FR,NULL
62,92i veyron,65,Booba,FR,numbers
63,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,FR,NULL
64,Bonbon à la menthe,64,"Jok'air, Mallaury",FR,NULL
65,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,FR,NULL
66,Ridin',64,Booba,FR,NULL
67,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,FR,NULL
68,Placebo,65,Dinos,FR,NULL
69,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",FR,NULL
70,All The Stars (with SZA),90,"Kendrick Lamar, SZA",FR,NULL
71,Downtown,14,"Anitta, J Balvin",FR,NULL
72,Dis-moi que tu m'aimes,64,Ninho,FR,NULL
73,Skrrt,7,"K27, Einar",FR,NULL
74,Θ. Macarena,64,Damso,FR,NULL
75,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",FR,NULL
76,Sourire,62,Ninho,FR,NULL
