id,nombre,popularity,artista,pais,genero
108,Breakin' Dishes,81,Rihanna,MC,rnb
109,Get Around Town,0,Revolver,MC,rock
110,Fix You,81,Coldplay,MC,Coldplay
111,Coming Home,0,Sasha,MC,pop
112,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",MC,NULL
113,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,MC,NULL
114,Flashing Lights,80,"Kanye West, Dwele",MC,NULL
115,Colillas en el sueño,0,DELUXE,MC,NULL
116,Promiscuous,80,"Nelly Furtado, Timbaland",MC,NULL
117,Goodbye,0,Sasha,MC,pop
118,Heartless,80,Kanye West,MC,Kanye West
119,Stars of CCTV - Live at the Astoria,0,Hard-Fi,MC,NULL
120,Bad Romance,79,Lady Gaga,MC,pop
121,Tendremos que esperar,0,DELUXE,MC,spanish pop
122,Smack That,79,"Akon, Eminem",MC,NULL
123,Mi rendición,0,Revolver,MC,Rock en Espanol
124,Poker Face,79,Lady Gaga,MC,pop
125,J'étais comme eux,0,Demon One,MC,NULL
126,Sex on Fire,79,Kings of Leon,MC,rock
127,Si es tan solo amor,0,Revolver,MC,blues guitar
128,Gimme More,78,Britney Spears,MC,pop
129,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,MC,NULL
130,Maneater,78,Nelly Furtado,MC,pop
131,Start Of Something New,0,"Troy, Vanessa Hudgens",MC,NULL
132,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",MC,NULL
133,No va más,0,Revolver,MC,rich spanish pop
134,I Wonder,78,Kanye West,MC,Hip-Hop
135,Slowly,0,Sasha,MC,pop
136,How to Save a Life,78,The Fray,MC,alternative
137,Soulcrusher,0,Operator,MC,Grunge
138,Umbrella,78,"Rihanna, JAY-Z",MC,NULL
139,Womanizer (Director's Cut),0,Britney Spears,MC,my dance room
140,Chasing Cars,78,Snow Patrol,MC,indie
141,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,MC,NULL
142,Don't Stop The Music,78,Rihanna,MC,dance
143,B.Y.O.B.,0,System Of A Down,MC,alternative metal
144,Empire State Of Mind,77,"JAY-Z, Alicia Keys",MC,NULL
145,Nothing to Lose,0,Operator,MC,rock
146,I Gotta Feeling,77,Black Eyed Peas,MC,pop
147,Nossa História - Ao Vivo,0,Edson & Hudson,MC,NULL
148,What I've Done,77,Linkin Park,MC,rock
149,Até O Sol Quis Ver,0,Exaltasamba,MC,Pagode
150,Viva La Vida,69,Coldplay,IT,Coldplay
151,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,IT,NULL
152,Marmellata #25,57,Cesare Cremonini,IT,NULL
153,Get Around Town,0,Revolver,IT,rock
154,Breakin' Dishes,81,Rihanna,IT,rnb
155,Sono Pazzo Di Te,0,Max Gazzè,IT,alternative
156,Estate,57,Negramaro,IT,italian
157,B.Y.O.B.,0,System Of A Down,IT,alternative metal
158,Poker Face,79,Lady Gaga,IT,pop
159,No va más,0,Revolver,IT,rich spanish pop
160,505,81,Arctic Monkeys,IT,indie rock
161,Stars of CCTV - Live at the Astoria,0,Hard-Fi,IT,NULL
162,Fix You,81,Coldplay,IT,Coldplay
163,Save Me,1,"Morandi, Helene",IT,NULL
164,Feel Good Inc.,82,Gorillaz,IT,alternative
165,Historia universal (El amor no es lo que piensas),0,DELUXE,IT,indie
166,Heartless,80,Kanye West,IT,Kanye West
167,Odio,1,Revolver,IT,spanish
168,Right Round,75,"Flo Rida, Kesha",IT,NULL
169,Mi rendición,0,Revolver,IT,Rock en Espanol
170,I Gotta Feeling,77,Black Eyed Peas,IT,pop
171,Si es tan solo amor,0,Revolver,IT,blues guitar
172,Just Dance,77,"Lady Gaga, Colby O'Donis",IT,NULL
173,Colillas en el sueño,0,DELUXE,IT,NULL
174,Umbrella,78,"Rihanna, JAY-Z",IT,NULL
175,Clapton: Tears in Heaven/video,1,The Choirboys,IT,NULL
176,What I've Done,77,Linkin Park,IT,rock
177,Soulcrusher,0,Operator,IT,Grunge
178,Bad Romance,79,Lady Gaga,IT,pop
179,Womanizer (Director's Cut),0,Britney Spears,IT,my dance room
180,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",IT,NULL
181,Ass Like That - Super Clean Version,0,Eminem,IT,NULL
182,Empire State Of Mind,77,"JAY-Z, Alicia Keys",IT,NULL
183,The Streets,0,"WC, Snoop Dogg, Nate Dogg",IT,NULL
184,Don't Stop The Music,78,Rihanna,IT,dance
185,We're All In This Together,0,"Troy, High School Musical Cast, Vanessa Hudgens",IT,NULL
186,Hot N Cold,72,Katy Perry,IT,pop
187,From Yesterday,0,Thirty Seconds To Mars,IT,alternative rock
188,Smack That,79,"Akon, Eminem",IT,NULL
189,Da Rockwilder,0,"Method Man, Redman",IT,NULL
190,How to Save a Life,78,The Fray,IT,alternative
191,Thriller 25th Anniversary,0,Michael Jackson,IT,NULL
192,Flashing Lights,80,"Kanye West, Dwele",IT,NULL
193,"Cacca Nello Spazio - Live / Milan, Italy / 2009",0,Caparezza,IT,NULL
194,Dog Days Are Over,75,Florence + The Machine,IT,indie
195,"Japan Summer Sonic, LPTV Episode 10",0,Linkin Park,IT,NULL
196,Back To Black,77,Amy Winehouse,IT,soul
197,I Know What I Like (In Your Wardrobe),0,Genesis,IT,Progressive rock
198,Can't Tell Me Nothing,77,Kanye West,IT,Hip-Hop
199,"Europe / Asia Tour, LPTV Episode 7",0,Linkin Park,IT,NULL
200,Viva La Vida,82,Coldplay,SI,Coldplay
201,Clapton: Tears in Heaven/video,1,The Choirboys,SI,NULL
202,Breakin' Dishes,81,Rihanna,SI,rnb
203,Get Around Town,0,Revolver,SI,rock
204,Čas,31,DAN D,SI,emotional
205,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,SI,NULL
206,505,81,Arctic Monkeys,SI,indie rock
207,Odio,1,Revolver,SI,spanish
208,Heartless,80,Kanye West,SI,Kanye West
209,Save Me,1,"Morandi, Helene",SI,NULL
210,Soba 102,31,"Jan Plestenjak, Lara",SI,NULL
211,Historia universal (El amor no es lo que piensas),0,DELUXE,SI,indie
212,Poker Face,79,Lady Gaga,SI,pop
213,Coming Home,0,Sasha,SI,pop
214,Iz Pekla Do Raja,30,"Jan Plestenjak, Eva Moškon",SI,NULL
215,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,SI,NULL
216,Flashing Lights,80,"Kanye West, Dwele",SI,NULL
217,Colillas en el sueño,0,DELUXE,SI,NULL
218,Headlock,83,Imogen Heap,SI,electronic
219,Goodbye,0,Sasha,SI,pop
220,Don't Stop The Music,78,Rihanna,SI,dance
221,Stars of CCTV - Live at the Astoria,0,Hard-Fi,SI,NULL
222,Aspirin,46,Seka Aleksić,SI,pop
223,Tendremos que esperar,0,DELUXE,SI,spanish pop
224,Feel Good Inc.,82,Gorillaz,SI,alternative
225,Mi rendición,0,Revolver,SI,Rock en Espanol
226,Z Goričkega V Piran,29,Vlado Kreslin,SI,NULL
227,J'étais comme eux,0,Demon One,SI,NULL
228,Hot N Cold,72,Katy Perry,SI,pop
229,Si es tan solo amor,0,Revolver,SI,blues guitar
230,Just Dance,77,"Lady Gaga, Colby O'Donis",SI,NULL
231,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,SI,NULL
232,I Gotta Feeling,77,Black Eyed Peas,SI,pop
233,Start Of Something New,0,"Troy, Vanessa Hudgens",SI,NULL
234,Homecoming,76,"Kanye West, Chris Martin",SI,NULL
235,No va más,0,Revolver,SI,rich spanish pop
236,Sex on Fire,79,Kings of Leon,SI,rock
237,Slowly,0,Sasha,SI,pop
238,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",SI,NULL
239,Soulcrusher,0,Operator,SI,Grunge
240,Da Se Nađemo Na Pola Puta,42,Neda Ukraden,SI,NULL
241,Womanizer (Director's Cut),0,Britney Spears,SI,my dance room
242,Sam Da Ti Maš Mene Rada,28,Jan Plestenjak,SI,NULL
243,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,SI,NULL
244,This Is The Life,72,Amy Macdonald,SI,female vocalists
245,B.Y.O.B.,0,System Of A Down,SI,alternative metal
246,Prava ljubav,41,"Lana Jurcevic, Luka Nizetic",SI,NULL
247,Nothing to Lose,0,Operator,SI,rock
248,Bad Romance,79,Lady Gaga,SI,pop
249,Nossa História - Ao Vivo,0,Edson & Hudson,SI,NULL
250,Breakin' Dishes,81,Rihanna,HR,rnb
251,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,HR,NULL
252,Za Dobra Stara Vremena,43,Novi Fosili,HR,croatian
253,Clapton: Tears in Heaven/video,1,The Choirboys,HR,NULL
254,Prava ljubav,41,"Lana Jurcevic, Luka Nizetic",HR,NULL
255,Get Around Town,0,Revolver,HR,rock
256,505,81,Arctic Monkeys,HR,indie rock
257,True To The Game,0,Ice Cube,HR,hip hop
258,Headlock,83,Imogen Heap,HR,electronic
259,Odio,1,Revolver,HR,spanish
260,Viva La Vida,82,Coldplay,HR,Coldplay
261,Save Me,1,"Morandi, Helene",HR,NULL
262,Romale Romali,45,Ana Nikolić,HR,favorites
263,Historia universal (El amor no es lo que piensas),0,DELUXE,HR,indie
264,Heartless,80,Kanye West,HR,Kanye West
265,Coming Home,0,Sasha,HR,pop
266,Poker Face,79,Lady Gaga,HR,pop
267,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,HR,NULL
268,Iza Devet Sela,38,Nenad Ninčevič,HR,NULL
269,Colillas en el sueño,0,DELUXE,HR,NULL
270,Usne boje vina,45,Boban Rajovic,HR,narodna muzika
271,Goodbye,0,Sasha,HR,pop
272,Sude Mi,39,Miroslav Škoro,HR,croatian
273,Stars of CCTV - Live at the Astoria,0,Hard-Fi,HR,NULL
274,Dvi Sestre Blizanke (feat. Prva Liga),38,"Dalmatino, Prva Liga",HR,NULL
275,Tendremos que esperar,0,DELUXE,HR,spanish pop
276,Tvoje Oci,45,"Goga Sekulić, Osman Hadzic",HR,NULL
277,Mi rendición,0,Revolver,HR,Rock en Espanol
278,Tako Mlada,44,Tanja Savic,HR,pop
279,J'étais comme eux,0,Demon One,HR,NULL
280,Feel Good Inc.,82,Gorillaz,HR,alternative
281,Si es tan solo amor,0,Revolver,HR,blues guitar
282,Aspirin,46,Seka Aleksić,HR,pop
