id,nombre,popularity,artista,pais,genero
110,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",CH,NULL
111,Slowly,0,Sasha,CH,pop
112,This Is The Life,72,Amy Macdonald,CH,female vocalists
113,Tattoo (feat. Fabo) - D4L,0,"The Alliance, Fabo",CH,NULL
114,Don't Stop The Music,78,Rihanna,CH,dance
115,Coming Home,0,Sasha,CH,pop
116,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",CH,NULL
117,There She Goes,0,Sasha,CH,pop
118,Just Dance,77,"Lady Gaga, Colby O'Donis",CH,NULL
119,Odio,1,Revolver,CH,spanish
120,Hot N Cold,72,Katy Perry,CH,pop
121,Nothing to Lose,0,Operator,CH,rock
122,Fix You,81,Coldplay,CH,Coldplay
123,Soulcrusher,0,Operator,CH,Grunge
124,Umbrella,78,"Rihanna, JAY-Z",CH,NULL
125,Save Me,1,"Morandi, Helene",CH,NULL
126,505,81,Arctic Monkeys,CH,indie rock
127,Please Please Please,0,Sasha,CH,pop
128,Sex on Fire,79,Kings of Leon,CH,rock
129,Please Please Please,0,Sasha,CH,pop
130,Smack That,79,"Akon, Eminem",CH,NULL
131,Nossa História - Ao Vivo,0,Edson & Hudson,CH,NULL
132,Promiscuous,80,"Nelly Furtado, Timbaland",CH,NULL
133,All These Things,0,Beth,CH,guilty pleasure
134,Back To Black,77,Amy Winehouse,CH,soul
135,I Won't Love You To Death Part 1,0,Mario,CH,NULL
136,Chasing Cars,78,Snow Patrol,CH,indie
137,Give It To You,0,"Eve, Sean Paul",CH,NULL
138,Empire State Of Mind,77,"JAY-Z, Alicia Keys",CH,NULL
139,A House Is Not a Home,0,Dionne Warwick,CH,pop
140,Heartless,80,Kanye West,CH,Kanye West
141,Hanuman Chalisa,0,"Shankar Mahadevan, AJay",CH,NULL
142,Headlock,83,Imogen Heap,CH,electronic
143,Historia universal (El amor no es lo que piensas),0,DELUXE,CH,indie
144,Hate It Or Love It,75,"The Game, 50 Cent",CH,NULL
145,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,CH,NULL
146,Maneater,78,Nelly Furtado,CH,pop
147,Colillas en el sueño,0,DELUXE,CH,NULL
148,"You're Gonna Go Far, Kid",76,The Offspring,CH,punk rock
149,Stars of CCTV - Live at the Astoria,0,Hard-Fi,CH,NULL
150,Headlock,83,Imogen Heap,LI,electronic
151,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,LI,NULL
152,Viva La Vida,82,Coldplay,LI,Coldplay
153,Odio,1,Revolver,LI,spanish
154,505,81,Arctic Monkeys,LI,indie rock
155,Save Me,1,"Morandi, Helene",LI,NULL
156,Breakin' Dishes,81,Rihanna,LI,rnb
157,Historia universal (El amor no es lo que piensas),0,DELUXE,LI,indie
158,Fix You,81,Coldplay,LI,Coldplay
159,Get Around Town,0,Revolver,LI,rock
160,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",LI,NULL
161,Coming Home,0,Sasha,LI,pop
162,Flashing Lights,80,"Kanye West, Dwele",LI,NULL
163,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,LI,NULL
164,Promiscuous,80,"Nelly Furtado, Timbaland",LI,NULL
165,Colillas en el sueño,0,DELUXE,LI,NULL
166,Heartless,80,Kanye West,LI,Kanye West
167,Goodbye,0,Sasha,LI,pop
168,Bad Romance,79,Lady Gaga,LI,pop
169,Stars of CCTV - Live at the Astoria,0,Hard-Fi,LI,NULL
170,Smack That,79,"Akon, Eminem",LI,NULL
171,Tendremos que esperar,0,DELUXE,LI,spanish pop
172,Poker Face,79,Lady Gaga,LI,pop
173,Mi rendición,0,Revolver,LI,Rock en Espanol
174,Sex on Fire,79,Kings of Leon,LI,rock
175,J'étais comme eux,0,Demon One,LI,NULL
176,Gimme More,78,Britney Spears,LI,pop
177,Si es tan solo amor,0,Revolver,LI,blues guitar
178,Maneater,78,Nelly Furtado,LI,pop
179,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,LI,NULL
180,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",LI,NULL
181,Start Of Something New,0,"Troy, Vanessa Hudgens",LI,NULL
182,I Wonder,78,Kanye West,LI,Hip-Hop
183,No va más,0,Revolver,LI,rich spanish pop
184,How to Save a Life,78,The Fray,LI,alternative
185,Slowly,0,Sasha,LI,pop
186,Umbrella,78,"Rihanna, JAY-Z",LI,NULL
187,Soulcrusher,0,Operator,LI,Grunge
188,Chasing Cars,78,Snow Patrol,LI,indie
189,Womanizer (Director's Cut),0,Britney Spears,LI,my dance room
190,Don't Stop The Music,78,Rihanna,LI,dance
191,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,LI,NULL
192,Empire State Of Mind,77,"JAY-Z, Alicia Keys",LI,NULL
193,B.Y.O.B.,0,System Of A Down,LI,alternative metal
194,I Gotta Feeling,77,Black Eyed Peas,LI,pop
195,Nothing to Lose,0,Operator,LI,rock
196,What I've Done,77,Linkin Park,LI,rock
197,Nossa História - Ao Vivo,0,Edson & Hudson,LI,NULL
198,Breakeven,77,The Script,LI,rock
199,Até O Sol Quis Ver,0,Exaltasamba,LI,Pagode
200,Viva La Vida,69,Coldplay,BE,Coldplay
201,J'étais comme eux,0,Demon One,BE,NULL
202,I Gotta Feeling,77,Black Eyed Peas,BE,pop
203,Get Around Town,0,Revolver,BE,rock
204,Breakin' Dishes,81,Rihanna,BE,rnb
205,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,BE,NULL
206,505,81,Arctic Monkeys,BE,indie rock
207,Clapton: Tears in Heaven/video,1,The Choirboys,BE,NULL
208,Don't Stop The Music,78,Rihanna,BE,dance
209,Odio,1,Revolver,BE,spanish
210,Chasing Cars,78,Snow Patrol,BE,indie
211,Goodbye,0,Sasha,BE,pop
212,Dog Days Are Over,75,Florence + The Machine,BE,indie
213,Soulcrusher,0,Operator,BE,Grunge
214,Feel Good Inc.,82,Gorillaz,BE,alternative
215,Nothing to Lose,0,Operator,BE,rock
216,Sex on Fire,79,Kings of Leon,BE,rock
217,Save Me,1,"Morandi, Helene",BE,NULL
218,Poker Face,79,Lady Gaga,BE,pop
219,Please Please Please,0,Sasha,BE,pop
220,Fix You,81,Coldplay,BE,Coldplay
221,There She Goes,0,Sasha,BE,pop
222,Umbrella,78,"Rihanna, JAY-Z",BE,NULL
223,Rain on Me,0,Beth,BE,pop
224,You've Got The Love,72,Florence + The Machine,BE,indie
