,nombre,popularity,artista,pais,genero
84,Pitam Te Posledno,35,"Emanuela, Serdar Ortac",BG,NULL
85,Smile,0,"Abel The Kid, Julio Iglesias Jr.",BG,NULL
86,"Kradi, kradi",35,"Bat Ventsi, Goodslav, Buch, 100 Kila",BG,NULL
87,G.U.Y. - An ARTPOP Film,0,Lady Gaga,BG,gaga
88,Nyama Nakade,37,Azis,BG,NULL
89,好不好,0,Evan Yo,BG,fabulous boys
90,Кажи ми като мъж,35,"Toni Storaro, Fiki",BG,NULL
91,Hardkor i disko,0,Sofa,BG,indie
92,Ne e lyubov,35,Djena,BG,NULL
93,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",BG,NULL
94,Locked out of Heaven,85,Bruno Mars,BG,pop
95,Losing You,0,Revolver,BG,fip
96,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",BG,NULL
97,Byłem (feat. As),0,"Pezet, As",BG,NULL
98,S&M,78,Rihanna,BG,pop
99,"Rum Whisky (From ""Vicky Donor"")",0,"Abhishek - Akshay, Akshay Verma",BG,NULL
100,Sweater Weather,85,The Neighbourhood,CZ,indie
101,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,CZ,NULL
102,Another Love,82,Tom Odell,CZ,indie
103,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,CZ,NULL
104,Síla Starejch Vín,50,ŠKWOR,CZ,NULL
105,Plastic Dreams 2003,2,JayDee,CZ,NULL
106,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",CZ,NULL
107,Iré tras de ti,0,Mr.,CZ,NULL
108,Wake Me Up,82,Avicii,CZ,electronic
109,Wind Song,0,Revolver,CZ,indie
110,Timber,80,"Pitbull, Kesha",CZ,NULL
111,Bede Z Toba - Hangout Live,2,Lemon,CZ,NULL
112,Counting Stars,82,OneRepublic,CZ,pop rock
113,Thoda Thoda,0,"Shreya Ghoshal, Sachin",CZ,NULL
114,Can't Hold Us (feat. Ray Dalton),80,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",CZ,NULL
115,Bede Z Toba,9,Lemon,CZ,NULL
116,Demons,79,Imagine Dragons,CZ,rock
117,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,CZ,NULL
118,Shut Up and Dance,80,WALK THE MOON,CZ,indie pop
119,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,CZ,NULL
120,Zakazane uvolneni,48,Michal Hruza,CZ,NULL
121,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,CZ,NULL
122,I Wanna Be Yours,86,Arctic Monkeys,CZ,indie rock
123,Ulubiona Rzecz,0,Ewa Farna,CZ,polish
124,A Sky Full of Stars,83,Coldplay,CZ,pop
125,Naporad - Live Acoustic Version,0,Michal Hruza,CZ,NULL
126,Svaz českých bohémů,48,Wohnout,CZ,czech favs
127,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,CZ,NULL
128,Call Me Maybe,76,Carly Rae Jepsen,CZ,pop
129,Il fait chaud,0,Patrick Sébastien,CZ,fiesta
130,Take Me To Church,78,Hozier,CZ,indie
131,Ballada o Janku Wisniewskim,1,Kazik,CZ,rock
132,International Love (feat. Chris Brown),77,"Pitbull, Chris Brown",CZ,NULL
133,Lågsus (feat. Medina),0,"Specktors, Medina",CZ,NULL
134,The Nights,80,Avicii,CZ,dance
135,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",CZ,NULL
136,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",CZ,NULL
