,nombre,popularity,artista,pais,genero
87,Die Zeit hält nur in Träumen an (Song),0,"Peter Maffay, Tabaluga",DE,NULL
88,Wake Me Up,82,Avicii,DE,electronic
89,Mona Lisa (ZDF Länderjournal 25.10.1991) - VOD,0,Die Flippers,DE,NULL
90,Can't Hold Us (feat. Ray Dalton),80,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",DE,NULL
91,Teenage Dream,0,Katy Perry,DE,pop
92,TiK ToK,79,Kesha,DE,dance
93,The Sick Note,0,The Dubliners,DE,amayzes loved
94,Call Me Maybe,76,Carly Rae Jepsen,DE,pop
95,Guiding Light,0,"Mark Wonder, Sizzla",DE,NULL
96,Traum,62,CRO,DE,german
97,"Muskurane (Film Version) [From ""Citylights""]",0,"Jeet Gannguli, Arijit Singh",DE,NULL
98,She Doesn't Mind,70,Sean Paul,DE,pop
99,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,DE,NULL
100,Another Love,82,Tom Odell,CH,indie
101,Il fait chaud,0,Patrick Sébastien,CH,fiesta
102,Can't Hold Us (feat. Ray Dalton),80,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",CH,NULL
103,Plastic Dreams 2003,2,JayDee,CH,NULL
104,Sweater Weather,85,The Neighbourhood,CH,indie
105,The Real Slim Shady - Edited,0,Eminem,CH,NULL
106,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",CH,NULL
107,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,CH,NULL
108,Wake Me Up,82,Avicii,CH,electronic
109,Ballada o Janku Wisniewskim,1,Kazik,CH,rock
110,A Sky Full of Stars,83,Coldplay,CH,pop
111,Bede Z Toba - Hangout Live,2,Lemon,CH,NULL
112,La La La,77,"Naughty Boy, Sam Smith",CH,NULL
113,Wind Song,0,Revolver,CH,indie
114,Demons,79,Imagine Dragons,CH,rock
115,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,CH,NULL
116,Counting Stars,82,OneRepublic,CH,pop rock
117,La Cage aux oiseaux,0,Les P'tits Pierrots,CH,NULL
118,I Wanna Be Yours,86,Arctic Monkeys,CH,indie rock
119,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,CH,NULL
120,Locked out of Heaven,85,Bruno Mars,CH,pop
